Time,lowerlim,median,upperlim
1998-02-20 11:00:00,1.3939868843104335e-05,1.4155669858303833e-05,1.4653528995136168e-05
1998-02-20 12:00:00,1.393397719202077e-05,1.414899434506451e-05,1.464529940513367e-05
1998-02-20 13:00:00,1.3933185183112028e-05,1.4146827209828596e-05,1.4640460202870173e-05
1998-02-20 14:00:00,1.3912205424683252e-05,1.412681875327885e-05,1.4622216709805215e-05
1998-02-20 15:00:00,1.389566039117277e-05,1.4110731041923955e-05,1.4606922081729026e-05
1998-02-20 16:00:00,1.3891602387550951e-05,1.410568151872046e-05,1.4599925582913452e-05
1998-02-20 17:00:00,1.3892643997593432e-05,1.4105140344565763e-05,1.4596319441905267e-05
1998-02-20 18:00:00,1.3906172623269312e-05,1.4115637344085165e-05,1.4601011415191896e-05
1998-02-20 19:00:00,1.3870462504728729e-05,1.408261437235678e-05,1.4572999134975293e-05
1998-02-20 20:00:00,1.3847073161871475e-05,1.406048265534229e-05,1.4553174577141591e-05
1998-02-20 21:00:00,1.3823692682146672e-05,1.403835993912745e-05,1.453335933763178e-05
1998-02-20 22:00:00,1.3812632963938754e-05,1.4027128463193606e-05,1.4521731805627881e-05
1998-02-20 23:00:00,1.3801582094696841e-05,1.401590597367092e-05,1.4510113576982065e-05
1998-02-21 00:00:00,1.3790540067404323e-05,1.4004692463453967e-05,1.4498504644278043e-05
1998-02-21 01:00:00,1.3779506874955772e-05,1.399348792525968e-05,1.4486905000099527e-05
1998-02-21 02:00:00,1.3768482510245762e-05,1.3982292351938227e-05,1.4475314636941405e-05
1998-02-21 03:00:00,1.3757466966257682e-05,1.3971105736384179e-05,1.4463733547431802e-05
1998-02-21 04:00:00,1.3746460235930514e-05,1.3959928071314475e-05,1.4452161724110013e-05
1998-02-21 05:00:00,1.3735462312158831e-05,1.3948759349668095e-05,1.4440599159604163e-05
1998-02-21 06:00:00,1.3724473187970433e-05,1.3937599564206387e-05,1.4429045846497958e-05
1998-02-21 07:00:00,1.383538983055528e-05,1.4034173541738161e-05,1.4498425361541028e-05
1998-02-21 08:00:00,1.400847743577813e-05,1.4185686033339195e-05,1.4609070326309736e-05
1998-02-21 09:00:00,1.476178577937726e-05,1.4850157165894465e-05,1.5105338635330516e-05
1998-02-21 10:00:00,1.5094696874171512e-05,1.514310246209453e-05,1.5322508217843856e-05
1998-02-21 11:00:00,1.5898540548094833e-05,1.5913245238306623e-05,1.596728359726037e-05
1998-02-21 12:00:00,1.8764545748441547e-05,1.970985182026807e-05,2.025160666675929e-05
1998-02-21 13:00:00,2.3770954718241538e-05,2.6346918908774354e-05,2.7744994454755807e-05
1998-02-21 14:00:00,3.173315441211746e-05,3.6895670611373695e-05,3.9651133945707136e-05
1998-02-21 15:00:00,2.8175362526149678e-05,3.2193396357675056e-05,3.4349501473532715e-05
1998-02-21 16:00:00,2.157801244384993e-05,2.3454791879658996e-05,2.448594934120294e-05
1998-02-21 17:00:00,1.7052883857976295e-05,1.7465544499380215e-05,1.7728209788071972e-05
1998-02-21 18:00:00,1.7787646334634252e-05,1.843621498753404e-05,1.8821558800867217e-05
1998-02-21 19:00:00,2.0868460168356827e-05,2.2519041670041233e-05,2.343031111908312e-05
